frame_idx,video_time_ms,easyocr_pred,trocr_pred,same_pred,easyocr_latency_ms,trocr_latency_ms,latency_gap_ms_trocr_minus_easyocr,easyocr_score,trocr_score,easyocr_bbox,trocr_bbox
34,1133.3333333333333,3U5B,ITEM,false,1278.6999,1797.6558,518.9559,0.26301154494285583,0.4145128130912781,"[472, 335, 509, 363]","[472, 335, 509, 363]"
35,1166.6666666666667,2985,SR,false,1307.1799,1486.8671,179.6872,0.1945403814315796,0.38933488726615906,"[472, 336, 509, 365]","[472, 336, 509, 365]"
36,1200.0,86B,SR,false,1505.4961,1481.5931,-23.9030,0.40238118171691895,0.457337349653244,"[471, 337, 512, 366]","[471, 337, 512, 366]"
37,1233.3333333333335,29,SR,false,1553.0044,1404.3752,-148.6292,0.3099159896373749,0.3099159896373749,"[471, 338, 511, 368]","[471, 338, 511, 368]"
38,1266.6666666666667,29I5,SR,false,1088.5301,1731.8745,643.3444,0.36499759554862976,0.36499759554862976,"[473, 339, 513, 368]","[473, 339, 513, 368]"
39,1300.0,,SR,false,966.1132,1648.7363,682.6231,0.0,0.288628488779068,"[990, 359, 1030, 387]","[990, 359, 1030, 387]"
40,1333.3333333333335,,SR,false,572.4321,1592.1633,1019.7312,0.0,0.2692815661430359,"[994, 360, 1032, 387]","[994, 360, 1032, 387]"
41,1366.6666666666667,,,true,231.7119,107.1654,-124.5465,0.0,0.0,,
42,1400.0000000000002,,SR,false,483.4065,1597.5517,1114.1452,0.0,0.33953380584716797,"[1002, 362, 1040, 389]","[1002, 362, 1040, 389]"
43,1433.3333333333333,,SR,false,790.5733,1404.9338,614.3605,0.0,0.3239264190196991,"[1007, 363, 1044, 388]","[1007, 363, 1044, 388]"
44,1466.6666666666667,,,true,309.4212,276.4626,-32.9586,0.0,0.0,,
45,1500.0,,,true,226.3064,164.2005,-62.1059,0.0,0.0,,
46,1533.3333333333335,,,true,185.9932,102.0715,-83.9217,0.0,0.0,,
47,1566.6666666666667,,,true,189.6343,101.8004,-87.8339,0.0,0.0,,
48,1600.0,,,true,215.7896,88.0565,-127.7331,0.0,0.0,,
49,1633.3333333333333,,CASHIER,false,644.6005,2386.6415,1742.0410,0.0,0.6090355515480042,"[486, 638, 587, 720]","[486, 638, 587, 720]"
50,1666.6666666666667,,CASH,false,696.4383,2039.5681,1343.1298,0.0,0.28548410534858704,"[501, 627, 601, 720]","[501, 627, 601, 720]"
51,1700.0000000000002,,MA,false,628.1919,2015.9816,1387.7897,0.0,0.4653240442276001,"[519, 617, 622, 720]","[519, 617, 622, 720]"
